"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1360",197.369269077316,180.040752745416,174.085862504707,196.268824404829,221.753120322412,177.055060435091,177.358055558049,185.709142243109,188.705010911366,-0.0220483772221355,0.122875461151796,0.664008777304149,0.988835539494147
"17.6",284.193935701666,338.629039404057,327.563429759635,302.21925173841,222.799125606952,290.173571268621,405.389841275541,320.323705668008,311.411487552861,0.0479720449219059,0.130527247399574,0.373284717069024,0.988835539494147
"1731",813.38461990252,636.11796164034,542.323559204694,555.805520438455,1342.02478006441,904.333312152843,208.124248869139,795.896323899038,724.75129077143,-0.0566178546406591,0.141320818284756,0.185996096660285,0.988835539494147
"297",1340.61673490118,3428.85735913568,1955.61875449213,745.126775837803,1321.10467437362,4934.18026059736,2743.62053291839,2608.77128389129,2384.73704701843,1.28472213587697,0.282959436713699,2.04662278387212e-07,2.57874470767887e-05
"3S18",1001.92069703143,1111.87042209052,1150.26826907316,783.338405367947,1072.15541665317,884.660527660055,1002.61594672611,1448.33479188541,1056.89555956098,0.0265685284730255,0.122879898664489,0.617729558595251,0.988835539494147
"412",1810.35108524648,1734.3261411938,1660.59473828477,2452.49185893468,1317.96665852,1536.93628849905,2162.68241216193,1503.35972292041,1772.33861322014,-0.0078373206756327,0.117618226626061,0.888376551424128,0.988835539494147
"accord",44.3740886820171,49.1129954211253,50.9784145652412,38.2116295301437,43.9322219506665,26.4353041621837,45.2444019280738,75.6592801731184,46.7435420515712,0.00134294511640177,0.1279397575988,0.972071764367281,0.988835539494147
"accord2",14.4563844448464,20.5136787692037,15.1850596577314,15.6320302623315,12.5520634144762,27.0500786775833,21.7173129254754,12.7736447045525,17.485031607025,0.0249797872919764,0.13320753727273,0.405199372400043,0.988835539494147
"aurora-element",57.6137382045481,61.4443890555876,87.8564165911604,24.3164915191824,60.6683065033014,129.10264823392,9.04888038561475,46.1816385472281,59.5290636300679,-0.0169867670230949,0.12906829896105,0.633494950437396,0.988835539494147
"baggins",42.5328328230677,46.1793316372061,85.1447987951369,22.5795992678122,19.8741004062539,98.978696979339,19.9075368483525,19.6517610839269,44.3560822301369,0.00416768252956012,0.127457883015955,0.914485889448762,0.988835539494147
